Respondent_ID,NYC Area,Occupation,Commute_Flag,Commute_Minutes,Long_Commute_Flag,Work_Hours,Jobs_Count,Multi_Job_Flag,PublicSpace_Flag,Live_Alone,Live_Dorm,Live_Roommates,Live_Parents,LeftOut_RC,Companionship_RC,Isolated_RC,TalkTo_RC,Content_RC,Loneliness_Score,Loneliness_Group,SocialisingHours_Code,SocialMedia_Scale,App_SocialMedia,App_Dating,App_Therapy,App_Count,Paid_Service_Flag,Impact_Score,Pressure_Score,Algo_Accuracy_Score,Benefits_From_Loneliness_Code
R166,Brooklyn,Office / Professional,1,37,0,53,2,1,0,0,0,0,1,3,3,3,2,2,2.6,Moderate,1.5,2,1,1,0,2,0,3.0,1.0,1.0,0.5
R167,Manhattan,Education,1,46,1,54,2,1,1,0,0,1,0,3,3,3,3,3,3.0,Moderate,1.5,3,1,1,0,2,1,3.0,3.0,4.0,0.0
R168,Bronx,Student,1,49,1,26,1,0,1,0,0,0,1,4,4,5,3,4,4.0,High,4.0,2,1,1,0,2,0,3.0,2.0,3.0,1.0
R169,Bronx,Healthcare,1,59,1,39,1,0,0,0,0,1,0,4,4,3,3,4,3.6,High,1.5,2,1,0,1,2,1,3.0,3.0,3.0,1.0
R170,Bronx,Hospitality,1,74,1,56,2,1,0,0,0,1,0,1,2,1,1,1,1.2,Low,1.5,4,1,1,0,2,1,2.0,4.0,3.0,1.0
R171,Brooklyn,Creative / Freelance,1,20,0,29,1,0,0,0,0,1,0,4,5,5,4,5,4.6,High,1.5,2,1,0,1,2,0,4.0,1.0,3.0,0.0
R172,Brooklyn,Office / Professional,1,46,1,46,2,1,1,0,0,1,0,3,2,2,4,2,2.6,Moderate,0.0,3,1,0,0,1,0,,,,0.5
R173,Brooklyn,Nonprofit,1,36,0,51,1,0,1,1,0,0,0,4,4,4,4,4,4.0,High,0.0,2,1,1,0,2,0,5.0,2.0,4.0,0.5
R174,Manhattan,Healthcare,1,18,0,47,1,0,1,1,0,0,0,5,4,4,5,5,4.6,High,4.0,2,1,0,0,1,0,,,,0.0
R175,Brooklyn,Office / Professional,1,60,1,56,2,1,1,0,0,1,0,1,3,2,3,1,2.0,Low,1.5,4,1,1,0,2,0,4.0,2.0,2.0,1.0
R176,Brooklyn,Student,1,67,1,51,2,1,1,0,0,1,0,3,2,3,2,4,2.8,Moderate,1.5,3,1,1,0,2,1,3.0,2.0,4.0,1.0
R177,Manhattan,Office / Professional,1,27,0,23,1,0,0,0,0,0,1,5,4,4,5,5,4.6,High,1.5,2,1,0,0,1,0,,,,0.0
R178,Manhattan,Student,1,29,0,47,1,0,1,0,0,1,0,5,5,5,3,4,4.4,High,4.0,2,1,0,0,1,0,,,,0.5
R179,Manhattan,Retail / Service,1,37,0,35,1,0,1,0,0,1,0,4,5,4,4,4,4.2,High,1.5,2,1,1,0,2,0,3.0,4.0,4.0,0.5
R180,Bronx,Student,1,42,0,38,1,0,1,0,0,0,1,4,5,5,4,3,4.2,High,1.5,2,0,0,1,1,0,4.0,3.0,3.0,1.0
